objid,bands,pid1,pid2
1237656971300897277,ri,1237656971300897269,1237656971300896886
1237656971301487637,i,1237656971301487257,1237656971301487257
1237656971301945655,gr,1237656971301945655,1237656971301945655
1237657070088618225,r,1237657070088618227,1237657070088618228
1237657070089011212,ug,1237657070089011207,1237657070089011213
1237657070089339075,r,1237657070089339071,1237657070089339071
1237657070090780869,gri,1237657070090780869,1237657070090780869
1237657070619787372,g,1237657070619787372,1237657070619787424
1237657070620311897,ri,1237657070620311705,1237657070620311705
1237657070620573889,ri,1237657070620573889,1237657070620573889
1237657070628503739,gr,1237657070628503739,1237657070628503739
1237657071157510854,ri,1237657071157510854,1237657071157510854
1237657071158231329,ri,1237657071158231329,1237657071158231329
1237657071158886644,ri,1237657071158886644,1237657071158886644
1237657071697526861,ri,1237657071697526861,1237657071697526861
1237657071697854722,ri,1237657071697854719,1237657071697854719
1237657071698641867,ri,1237657071698641209,1237657071698641583
1237657190369591514,i,1237657190369591516,1237657190369591516
1237657190370967824,gr,1237657190370967824,1237657190370967825
1237657190371426900,i,1237657190371426893,1237657190371426892
1237657190905938027,gri,1237657190905938027,1237657190905938027
1237657190907314793,gri,1237657190907314351,1237657190907314355
1237657190908297363,gri,1237657190908297364,1237657190908297363
1237657190908756121,gri,1237657190908756118,1237657190908756121
1237657190909280922,ri,1237657190909280922,1237657190909280922
1237657191444054069,ugri,1237657191444054059,1237657191444054059
1237657191444972204,ri,1237657191444972204,1237657191444972205
1237657191444644038,r,1237657191444644038,1237657191444644038
1237657191445299447,gri,1237657191445299457,1237657191445299457
1237657191979811010,ri,1237657191979811010,1237657191979811009
1237657191979155711,ri,1237657191979155711,1237657191979155711
1237657192516157942,ri,1237657192516157942,1237657192516157942
1237657192516747779,ri,1237657192516747299,1237657192516748232
1237657192517075136,gri,1237657192517075134,1237657192517075135
1237657192516812905,ri,1237657192516812904,1237657192516812905
1237657584951427367,ri,1237657584951427367,1237657584951427366
1237657586029166709,gri,1237657586029166709,1237657586029166709
1237660024521294122,gri,1237660024521294122,1237660024521294121
1237660024522080591,ri,1237660024522080588,1237660024522080591
1237657587098190038,ri,1237657587098190038,1237657587098190038
1237660024524440180,u,1237660024524439899,1237660024524439899
1237660239778087263,ri,1237660239778087264,1237660239778087263
1237660239778088005,ri,1237660239778087264,1237660239778087264
1237660240312991820,gri,1237660240312991820,1237660240312992065
1237660241386733629,ri,1237660241386733628,1237660241386733629
1237660241387520325,ri,1237660241387520325,1237660241387520325
1237660241923080340,gr,1237660241923080339,1237660241923080344
1237663204918689951,gri,1237663204918689951,1237663204918689951
1237663204921376920,ri,1237663204921376920,1237663204921376921
1237660241924391067,gri,1237660241924391067,1237660241924391067
1237663237123145815,ri,1237663237123145814,1237663237123145815
1237663237124194551,ri,1237663237124194551,1237663237124194551
1237663237127864856,gri,1237663237127864856,1237663237127864856
1237663237128388742,ugri,1237663237128388749,1237663237128388740
1237663237129830668,gri,1237663237129830668,1237663237129830668
1237663237129699507,ugri,1237663237129699506,1237663237129699507
1237663238740640205,ri,1237663238740640205,1237663238740640205
1237663238741230496,gri,1237663238741229685,1237663238741229685
1237663716554899840,ri,1237663716554899840,1237663716554899840
1237663716018225622,ri,1237663716018225252,1237663716018225253
1237663782589432005,gr,1237663782589432005,1237663782589432007
1237663782592839938,ri,1237663782592839938,1237663782592839938
1237663782595068008,gri,1237663782595068811,1237663782595068811
1237663782596313226,ri,1237663782596313228,1237663782596313226
1237663782597099538,i,1237663782597099531,1237663782597099531
1237663782602997871,gru,1237663782602997880,1237663782602997886
1237663783126368504,ri,1237663783126368503,1237663783126368504
1237663782602997923,gri,1237663782602997913,1237663782602997913
1237663783131545798,gri,1237663783131545798,1237663783131545798
1237663783132397774,ri,1237663783132397774,1237663783132397774
1237663783135150579,ri,1237663783135150579,1237663783135150578
1237663783137378466,gr,1237663783137378478,1237663783137378486
1237663783137443959,gri,1237663783137443958,1237663783137443959
1237663783138230489,gr,1237663783138230489,1237663783138230489
1237663783141180044,ri,1237663783141180044,1237663783141180044
1237663783142752422,ri,1237663783142752422,1237663783142752422
1237663783663763764,g,1237663783663763764,1237663783663763765
1237663783143080351,ri,1237663783143080351,1237663783143080351
1237663783664287902,gri,1237663783664287901,1237663783664287901
1237663783665664170,ri,1237663783665664170,1237663783665664170
1237663783666712589,ri,1237663783666647167,1237663783666647167
1237663783667630960,ri,1237663783667630960,1237663783667630960
1237663783667630183,gri,1237663783667630183,1237663783667630183
1237663783672611350,ri,1237663783672611350,1237663783672611350
